Date,Open,High,Low,Close,Adj Close,Volume
2017-04-06,46.380001,46.430000,46.040001,46.279999,46.279999,4124600
2017-04-07,46.230000,46.529999,45.959999,46.439999,46.439999,4629800
2017-04-10,46.490002,47.419998,46.400002,47.209999,47.209999,7818000
2017-04-11,47.029999,47.209999,46.419998,46.790001,46.790001,5593900
2017-04-12,46.799999,47.160000,46.669998,46.830002,46.830002,5127300
2017-04-13,46.849998,47.110001,46.610001,46.900002,46.900002,3762100
2017-04-17,47.020000,47.419998,46.919998,47.389999,47.389999,3857100
2017-04-18,47.250000,47.750000,47.139999,47.560001,47.560001,9341900
2017-04-19,47.599998,47.880001,46.930000,47.000000,47.000000,12179500
2017-04-20,47.250000,47.840000,47.070000,47.669998,47.669998,10925100
2017-04-21,47.730000,47.770000,47.369999,47.520000,47.520000,7055000
2017-04-24,47.889999,48.200001,47.750000,48.150002,48.150002,9860400
2017-04-25,48.290001,48.459999,48.160000,48.400002,48.400002,10288200
2017-04-26,48.400002,48.470001,48.169998,48.259998,48.259998,4053100
2017-04-27,48.080002,48.470001,48.020000,48.360001,48.360001,10635400
2017-04-28,48.450001,48.500000,48.160000,48.209999,48.209999,4925400
2017-05-01,48.220001,48.779999,48.119999,48.610001,48.610001,6386500
2017-05-02,48.720001,49.299999,48.720001,49.090000,49.090000,6106300
2017-05-03,49.189999,49.189999,48.169998,48.540001,48.540001,4702400
2017-05-04,48.630001,48.680000,48.160000,48.450001,48.450001,6208900
2017-05-05,48.639999,48.650002,48.270000,48.400002,48.400002,2562393
